Name,Breed,Gender
Abby Cadabby,Bull Terrier (short coat),Female
Adrienne,Boxer / Mixed (short coat),Male
Alice,Hound / Shepherd / Mixed (short coat),Female
Ariana Grande,German Shepherd Dog / Mixed (medium coat),Female
Aurora,Great Pyrenees / Mixed (long coat),Female
Beau,American Pit Bull Terrier / Hound / Mixed (short coat),Male
Blanche,Labrador Retriever / Mixed (short coat),Female
Bosco,Cockapoo / Mixed (long coat),Male
Burton,Terrier / Mixed (short coat),Male
Caboose,Bull Terrier (short coat),Male
Cashy Boy,German Shepherd Dog / Mixed (medium coat),Male
Chance,American Bulldog / Mixed (short coat),Male
Chase Green,Terrier / Mixed (short coat),Male
Crew,Havanese / Bichon Frise / Mixed,Male
Crocky,Labrador Retriever / Pit Bull Terrier / Mixed (medium coat),Male
Danica Patrick,Boxer / Australian Shepherd / Mixed (short coat),Female
Darby,Labrador Retriever / Mixed (short coat),Male
Deli,Boxer / Beagle / Mixed (short coat),Female
Dexter,Pit Bull Terrier / Mixed (short coat),Male
Dollar,Chihuahua,Female
Eichel,Boxer / Australian Shepherd / Mixed (short coat),Male
Esme,Hound / Mixed (short coat),Female
Esther,Boxer / American Pit Bull Terrier / Mixed (short coat),Female
Faksa,Unknown breed (short coat),Female
Floki,Shar Pei / Labrador Retriever / Mixed (short coat),Male
Gia,Rottweiler / Mixed (short coat),Female
Gideon,Labrador Retriever / Mixed (medium coat),Male
Gladys,Coonhound / Hound / Mixed (short coat),Female
Gloria,Boxer / Beagle / Mixed (short coat),Female
Hank,Chihuahua / Mixed (short coat),Male
Henry,Labrador Retriever / American Pit Bull Terrier / Mixed,Male
Ink,Australian Cattle Dog/Blue Heeler / Mixed (medium coat),Male
Jade,Black Mouth Cur / Beagle / Mixed (medium coat),Male
Janice Joplin,Chihuahua / Terrier / Mixed (short coat),Female
Jasmine,Hound / Mixed (short coat),Female
Jeri,Terrier / Mixed (short coat),Female
Jett,Labrador Retriever / Mixed (short coat),Female
Leo,Terrier / Mixed (short coat),Male
Lily Jo,Australian Shepherd / Bulldog / Mixed (long coat),Female
Loki,Hound / Mixed (short coat),Male
Lovemuffin,Hound / Mixed,Male
Lynx,Labrador Retriever / Terrier / Mixed (short coat),Male
Margaret,Great Pyrenees / Mixed (medium coat),Female
Mary,Great Pyrenees / Mixed (long coat),Female
Miesler,Boxer / Australian Shepherd / Mixed (short coat),Female
Miles,Black Mouth Cur / Shepherd / Mixed (short coat),Male
Miya,Shiba Inu (short coat),Female
Money Penny,Chihuahua / Mixed (short coat),Female
Mr. Bean,Terrier / Mixed (short coat),Male
Nala,Plott Hound / Mixed (short coat),Female
Nash Bridges,Boxer / Beagle / Mixed (short coat),Male
Neo,Husky (medium coat),Male
Palmer,Unknown breed (short coat),Male
"PIERRE  ""Lover Boy!""",Poodle (Miniature) / Mixed (medium coat),Male
Prim,Pit Bull Terrier / Mixed (short coat),Female
Quinsey,Border Collie / Mixed (short coat),Male
"Radar ""Vegas""",Labrador Retriever / Mixed (medium coat),Male
Rolo,Hound / Mixed (short coat),Male
Roman,Basset Hound / Mixed (short coat),Male
Rosanna,Australian Cattle Dog/Blue Heeler / Mixed (medium coat),Female
Rubia,Shepherd / Labrador Retriever / Mixed (medium coat),Female
Sapphire,Black Mouth Cur / Mixed (medium coat),Female
Sawyer,Treeing Walker Coonhound / Mixed (short coat),Male
Seren Sadie,German Shepherd Dog / Chow Chow / Mixed (medium coat),Female
Sherman,German Shepherd Dog (medium coat),Male
Sophie Sue,American Pit Bull Terrier / Mixed (short coat),Female
Sparkles,Terrier / American Staffordshire Terrier / Mixed (short coat),Female
Tashi,Unknown breed (short coat),Female
Teddy,Siberian Husky / Mixed (short coat),Male
Teresa,Terrier / Mixed (medium coat),Female
Theo,Australian Cattle Dog/Blue Heeler / Mixed (short coat),Male
Tillie,Australian Cattle Dog/Blue Heeler / Mixed (short coat),Female
Todd,Great Pyrenees / Mixed (medium coat),Male
Twilight,Australian Cattle Dog/Blue Heeler / Mixed (short coat),Male
